word,importance_score,sentiment,game_name
good,4.598454009215043,POSITIVE,Assassin’s Creed Shadows
great,4.3256440602787585,POSITIVE,Assassin’s Creed Shadows
best,4.160644468711844,POSITIVE,Assassin’s Creed Shadows
fun,3.6333284230620326,POSITIVE,Assassin’s Creed Shadows
amazing,3.5350776994740687,POSITIVE,Assassin’s Creed Shadows
awesome,3.098067141773687,POSITIVE,Assassin’s Creed Shadows
love,3.0845655703773636,POSITIVE,Assassin’s Creed Shadows
not bad,2.9357141570065237,POSITIVE,Assassin’s Creed Shadows
so far,2.726583838068534,POSITIVE,Assassin’s Creed Shadows
far,2.5268623181009287,POSITIVE,Assassin’s Creed Shadows
beautiful,2.3341709670562416,POSITIVE,Assassin’s Creed Shadows
great game,2.2580742303331176,POSITIVE,Assassin’s Creed Shadows
nice,2.1826434846778247,POSITIVE,Assassin’s Creed Shadows
good game,2.1755094728603432,POSITIVE,Assassin’s Creed Shadows
well,2.1103631868699027,POSITIVE,Assassin’s Creed Shadows
ninja,2.020140518884479,POSITIVE,Assassin’s Creed Shadows
hate,1.9730070382386375,POSITIVE,Assassin’s Creed Shadows
fantastic,1.9168668421862884,POSITIVE,Assassin’s Creed Shadows
yes,1.9036907383950128,POSITIVE,Assassin’s Creed Shadows
the best,1.891071532723031,POSITIVE,Assassin’s Creed Shadows
boring,5.953144845158758,NEGATIVE,Assassin’s Creed Shadows
worst,3.375895053626176,NEGATIVE,Assassin’s Creed Shadows
even,3.0254346139544035,NEGATIVE,Assassin’s Creed Shadows
repetitive,2.908844160929579,NEGATIVE,Assassin’s Creed Shadows
terrible,2.8535469431493397,NEGATIVE,Assassin’s Creed Shadows
unplayable,2.7804548510840426,NEGATIVE,Assassin’s Creed Shadows
not,2.745854722010298,NEGATIVE,Assassin’s Creed Shadows
no,2.7434262435374004,NEGATIVE,Assassin’s Creed Shadows
garbage,2.7336325725230526,NEGATIVE,Assassin’s Creed Shadows
same,2.697169663669239,NEGATIVE,Assassin’s Creed Shadows
just,2.6452439392609635,NEGATIVE,Assassin’s Creed Shadows
sucks,2.592848503426547,NEGATIVE,Assassin’s Creed Shadows
ubisoft,2.551068027678569,NEGATIVE,Assassin’s Creed Shadows
refund,2.3790384770741726,NEGATIVE,Assassin’s Creed Shadows
buggy,2.336688871752932,NEGATIVE,Assassin’s Creed Shadows
trash,2.333873330492267,NEGATIVE,Assassin’s Creed Shadows
empty,2.229550406520914,NEGATIVE,Assassin’s Creed Shadows
loading,2.141844421511397,NEGATIVE,Assassin’s Creed Shadows
refunded,2.1294138770302253,NEGATIVE,Assassin’s Creed Shadows
not good,2.0215113223377124,NEGATIVE,Assassin’s Creed Shadows
